Asset,Strategy,LeverageType,Criteria,ExposureBull,ExposureOscillate,ExposureBear,VolTarget,TotalReturn,AnnualReturn,Vol,Sharpe,MDD,Calmar
688_CHIP,专业策略 (每日 ETF),daily_etf,Max Sharpe,2.0,1.2,0.3,0.45,282.84%,59.36%,44.87%,1.28,-45.42%,1.31
688_CHIP,专业策略 (每日 ETF),daily_etf,Max Calmar,1.5,0.8,0.8,0.45,195.49%,45.66%,40.20%,1.09,-22.11%,2.06
688_CHIP,专业策略 (每日 ETF),daily_etf,Max Return,2.0,1.2,0.5,0.45,282.96%,59.37%,45.11%,1.27,-44.25%,1.34
688_CHIP,专业策略 (静态融资),margin_static,Max Sharpe,2.0,1.2,0.0,0.45,284.40%,59.58%,44.73%,1.29,-46.99%,1.27
688_CHIP,专业策略 (静态融资),margin_static,Max Calmar,1.2,1.0,0.8,0.45,191.12%,44.90%,39.73%,1.08,-21.48%,2.09
688_CHIP,专业策略 (静态融资),margin_static,Max Return,2.0,1.2,0.3,0.45,284.53%,59.60%,44.86%,1.28,-45.30%,1.32
688_CHIP,散户现货策略 (非信仰型),daily_etf,Max Sharpe,1.0,1.0,0.0,,207.06%,47.61%,33.96%,1.34,-26.41%,1.80
688_CHIP,散户现货策略 (非信仰型),daily_etf,Max Calmar,0.5,0.3,0.0,,63.06%,18.50%,13.81%,1.19,-10.23%,1.81
688_CHIP,散户现货策略 (非信仰型),daily_etf,Max Return,1.0,1.0,0.0,,207.06%,47.61%,33.96%,1.34,-26.41%,1.80
688_CHIP,散户现货策略 (信仰型),daily_etf,Max Sharpe,1.0,1.0,0.5,,303.80%,62.33%,35.64%,1.69,-19.33%,3.22
688_CHIP,散户现货策略 (信仰型),daily_etf,Max Calmar,1.0,1.0,0.5,,303.80%,62.33%,35.64%,1.69,-19.33%,3.22
688_CHIP,散户现货策略 (信仰型),daily_etf,Max Return,1.0,1.0,0.5,,303.80%,62.33%,35.64%,1.69,-19.33%,3.22
688_CHIP,散户融资策略 (非信仰型),daily_etf,Max Sharpe,1.5,1.5,0.0,,353.63%,69.02%,50.93%,1.32,-37.84%,1.82
688_CHIP,散户融资策略 (非信仰型),daily_etf,Max Calmar,2.0,1.5,0.0,,406.98%,75.67%,59.55%,1.24,-41.31%,1.83
688_CHIP,散户融资策略 (非信仰型),daily_etf,Max Return,2.0,1.5,0.0,,406.98%,75.67%,59.55%,1.24,-41.31%,1.83
688_CHIP,散户融资策略 (信仰型),daily_etf,Max Sharpe,1.5,1.5,0.5,,573.66%,93.89%,53.15%,1.73,-28.41%,3.31
688_CHIP,散户融资策略 (信仰型),daily_etf,Max Calmar,2.0,1.5,0.5,,639.78%,100.30%,58.83%,1.67,-29.91%,3.35
688_CHIP,散户融资策略 (信仰型),daily_etf,Max Return,2.0,1.5,0.5,,639.78%,100.30%,58.83%,1.67,-29.91%,3.35
QQQ,专业策略 (每日 ETF),daily_etf,Max Sharpe,1.5,1.5,0.8,0.15,94.62%,24.96%,19.32%,1.19,-20.21%,1.24
QQQ,专业策略 (每日 ETF),daily_etf,Max Calmar,1.0,1.0,0.0,0.25,18.98%,5.99%,5.41%,0.74,-3.69%,1.62
QQQ,专业策略 (每日 ETF),daily_etf,Max Return,3.0,2.5,1.5,0.45,182.23%,41.51%,37.98%,1.04,-38.77%,1.07
QQQ,专业策略 (静态融资),margin_static,Max Sharpe,1.0,1.0,0.0,0.15,15.98%,5.09%,1.83%,1.68,-1.53%,3.33
